product_id,product_name,url,description,price,sold_count,rating,total_stock,category
2618801377,Piano Elektronik Payment Mr. D 2,https://www.tokopedia.com/miracle-piano-maestro-piano/piano-elektronik-payment-mr-d-2?extParam=ivf%3Dfalse%26keyword%3Delektronik%26search_id%3D20250828183114320722549D1751175YE6%26src%3Dsearch,pengiriman seluruh Indonesia  Jakarta  Merupakan seri piano kawai yang pantas menjadi pilihan . Dengan karakter suara yang indah membuat piano ini pilihan dari level pemula hingga profesional.  Maestro Piano menyediakan berbagai macam tipe piano dengan kualitas terbaik dan terjamin di kelasnya  Setiap piano kami sudah termasuk : - Free Delivery Jabodetabek - Garansi 3 tahun - Free Heater - Free Cover tuts - Free Cover Piano - Free Kursi Piano  info silahkan Call  Cash  amp; Credit,20300000,1,,9,Speaker
1418259858,mesin cuci lg 15kg f2515stgw(GARANSI RESMI),https://www.tokopedia.com/memory-elektronik-jaya/mesin-cuci-lg-15kg-f2515stgw-garansi-resmi?extParam=ivf%3Dfalse%26keyword%3Delektronik%26search_id%3D2025082818310811B9842E0A271F23BFS2%26src%3Dsearch,"Tanyakan ketersediaan stock terlebih dahulu
FREE ONGKIR DAERAH LHOKSEUMAWE SET-1kg
FITUR :
-Anti Bacterial, Mesin cuci bebas dari bakteri
-Inverter Direct Drive Motor
-6motions for Better performance
-Smart ThinQ
-Smart Diagnosis
-Inverter Direct Drive Motor that powers our washing machines
-Big Touch White-LED Display (Black)
-TurboWash
-12 programs




SPESIFIKASI :
KAPASITAS : 15 KG
Voltage/Frequency 220 V/ 50 Hz
Power Consumption (W) : 800 Watt
daya max : 2000 watt
BERAT : 70kg
DIMENSION (WXDXH) : 645 x 770 x 940 MM
Garansi Resmi motor 10 tahun & 1 tahun sparepats",11100000,1,5.0,5,Mesin Cuci
12881922184,Smart TV XIAOMI L32M8-A2ID 32 A Pro series,https://www.tokopedia.com/blessingcombali/smart-tv-xiaomi-l32m8-a2id-32-a-pro-series?extParam=ivf%3Dfalse%26keyword%3Delektronik%26search_id%3D2025082818310811B9842E0A271F23BFS2%26src%3Dsearch,"WAJIB Membaca CATATAN TOKO
WAJIB Video Unboxing Paket Sampai Selesai Buka.
TIDAK Menerima Komplain Tanpa Video Unboxing.
Membeli Berarti Menyetujui Ketentuan Toko.
Terimakasih
--------------
TAMBAHAN PACKING KAYU
https://tokopedia.com/blessingcombali/packing-kayu-dengan-berat-barang-15-20-kg
--------------
Smart TV XIAOMI L32M8-A2ID 32 A Pro series
--------------

Specifications

Layar
Tipe Layar : HD
Resolusi : 1.366 × 768
Kedalaman warna : 16,7 miliar
Refresh rate : 60 Hz
Sudut tampilan : 178°(H)/178°(V)

Speaker
Speaker (Output Suara) : 2 × 10 W
Mendukung Dolby Audio, DTS-X, dan DTS Virtual : X Sound

Sistem Operasi
- Android TV

Prosesor
CPU : CA55 × 4
GPU : Mali G31 MP2

Konten 
Netflix, Prime Video, dan YouTube bawaan Ribuan aplikasi tersedia di Google Play

Rumah Pintar
- Google Assistant bawaan
- Pusat kontrol rumah pintar
- Chromecast built-in
- Mendukung Miracast

Desain
Ukuran : 32""
Tampilan tanpa batas, tanpa bezel
Warna : Hitam
Kaki penyangga : Dua buah
Tombol daya

Dimensi
Dimensi termasuk kaki penyangga (P x L x T) : 715,7 × 190,4 × 471,0 mm
Dimensi tanpa kaki penyangga (P x L x T) : 715,7 × 82,5 × 423,7 mm
Packing size (L × W × H) : 800 × 128 × 520mm

Material
Frame : Metal
Stand : Plastic

Wall mount
Wall mount : 100 × 100mm

Connectivity
- Bluetooth 5.0
- Wi-Fi 2.4GHz/5GHz
- HDMI × 2 (1 port with eARC)
- USB 2.0 × 2
- Composite In (AV): Yes 
- Ethernet (Lan): Yes
- 3.5mm headphone jack × 1
- CI Slot* : Yes
- Broadcasting system : DVB-T2/C, DVB-S2*

Power & Operating environment
- Power : 55W
- Voltage : 100~240V~50/60HZ
- Operating temperature : 0℃～40℃, Humidity 20%～80%
- Storage temperature -15℃～45℃, Relative humidity < 80%

Package contents 
- 360° bluetooth remote control × 1
- Screws bag × 1
- Stand × 2
- Power cable × 1
- User manual × 1
- Warranty card × 1

3 Years warranty By Xiaomi

Alamat Service Center Monitor Xiaomi
Jalan Teuku Umar no 74XX / 121 Denpasar",1729800,215,5.0,38,Monitor Tabung
11108003873,AQUA Elektronik AQR-D225(MDS) 1 pintu 180L,https://www.tokopedia.com/rossielektroni/aqua-elektronik-aqr-d225-mds-1-pintu-180l-1731345535705646710?extParam=ivf%3Dfalse%26keyword%3Delektronik%26search_id%3D20250828183114320722549D1751175YE6%26src%3Dsearch,"AQUA Elektronik AQR-D225 1Door 180 L

AQR-D225 kulkas 1 pintu dengan kapasitas 180 liter yang cocok untuk sobat AQUA, dengan teknologi refrigerant R600a yang ramah lingkungan dan konsumsi daya yang rendah. Selain itu kulkas ini juga memiliki kapasitas freezer yang cukup besar dan sudah menggunakan teknologi semi-auto defrost



GIANT FREEZER

Kapasitas freezer yang lebih besar yaitu 30 liter untuk menyimpan lebih banyak frozen food.



RAMAH LINGKUNGAN

Menggunakan Refrigerant R600a yang lebih ramah lingkungan dan memiliki konsumsi daya yang rendah



SEMI AUTO DEFROST

1 Langkah untuk melakukan pencairan (OFF + AUTO ON)



TEMPERED GLASS TRAY

Rak dengan bahan tempered glass lebih kuat, Tahan lama, dan Mudah dibersihkan



BIGGER VEGETABLE TRAY

Rak khusus penyimpanan sayur dan buah-buahan yang memiliki kapasitas lebih besar.



ENERGY SAVING

Hemat energi dengan konsumsi listrik yang rendah.





Spesifikasi

Spesifikasi Umum

Net Capacity (L) 180

Dimension (W*D*H)mm 525x524x1235

Power Consumtion (Watt) 81",1933000,11,5.0,11,Kulkas
100413508806,GARANSI 1 TAHUN! BARDI ZigBee Smart Gateway,https://www.tokopedia.com/technobitzzz/garansi-1-tahun-bardi-zigbee-smart-gateway-1731408127234377234?extParam=ivf%3Dfalse%26keyword%3Delektronik%26search_id%3D20250828183113D81F9C1BE2E08910BKIX%26src%3Dsearch,"BARDI Zigbee Gateway adalah jembatan antara perangkat Zigbee pintar dan jaringan Wi-Fi rumah anda. Perangkat ini memungkinkan kontrol suara, otomatisasi, dan mengubah perangkat Zigbee menjadi perangkat Wi-Fi untuk pengaturan dan pemantauan mudah.

Fitur Utama:
1. Mengubah signal Wifi 2.4GHz menjadi koneksi dengan protokol Zigbee
2. Kontrol seluruh Smart Home device yang menggunakan protokol Zigbee
3. Mendukung Automasi untuk Perangkat Zigbee
4. Instalasi Mudah, Plug, and Play
5. Dapat Memasangkan hingga 64 Perangkat dalam 1 Zigbee Gateway
6. Memili jarak deteksi s/d (Tanpa halangan)
7. Mendukung Kontrol Suara untuk Perangkat Zigbee
8. Jaringan mesh Zigbee memungkinkan perangkat Zigbee untuk berkomunikasi satu sama lain
9. Konsumsi Energi rendah

Spesifikasi:
Sistem yang Didukung : IOS/Android
Ukuran Produk : 24.5x20x70mm
Power Input : 5V1A
Power Consumption : Max. Total Device connect : 64 device
Jarak : Up to 15m (Tanpa halangan)
Zigbee Direction : 360°

BARDI Zigbee Gateway adalah jembatan antara perangkat Zigbee pintar dan jaringan Wi-Fi rumah anda. Perangkat ini memungkinkan kontrol suara, otomatisasi, dan mengubah perangkat Zigbee menjadi perangkat Wi-Fi untuk pengaturan dan pemantauan mudah.

Tersedia bundling beragam produk BARDI ZigBee lain nya yang dapat di sesuaikan dengan kebutuhan keamaan rumah pintar anda
- BARDI ZigBee Gateway only
- BARDI ZigBee Gateway + BARDI ZigBee PIR Motion
- BARDI ZigBee Gateway + BARDI ZigBee Door Sensor
- BARDI ZigBee Gateway + BARDI ZigBee PIR Motion + BARDI ZigBee Door Sensor ( complete series 3 in 1 )

WAJIB DIBACA
BARDI Zigbee PIR Motion Sensor & BARDI Zigbee Door Sensor WAJIB memiliki BARDI Zigbee Gateway terlebih dahulu baru keduanya bisa digunakan. TANPA GATEWAY produk tidak bisa di gunakan.",469000,2,,398,Remote IO
8405582218,TOSHIBA LED FHD SMART TV 43V31LP GARANSI RESMI NEGO,https://www.tokopedia.com/rahayuelektronika/toshiba-led-fhd-smart-tv-43v31lp-garansi-resmi-nego?extParam=ivf%3Dfalse%26keyword%3Delektronik%26search_id%3D2025082818310811B9842E0A271F23BFS2%26src%3Dsearch,"MOHON TANYAKAN STOK DAN HARGA TERUPDATE TERLEBIH DAHULU

TOSHIBA LED TV - FHD SMART VIDAA 43 adalah smart TV yang dilengkapi prosesor tercanggih Vidaa U4.2 dan berkemampuan mengolah data dengan begitu cepat sehingga Anda bisa lebih mudah dan nyaman menikmati berbagai hiburan. Audio visual yang dihasilkan 43V31LP juga sangat berkualitas. Anda dan keluarga akan disajikan banyak hiburan mewah di rumah setiap saat.

Picture spesification : 
REGZA Engine HG
Full HD : 1.920 x 1.080 pixels
Essential PQ Technology
Digital Noise Reduction
Color Re-master
Picture Optimizer
Contrast Booster
Football Mode
IPS - Hard Panel
Refresh Rate : 60 hz

Audio Spesification : 
REGZA Power Audio
Dolby Audio
DTS HD
Main Speakers : 8 watt x 2

Smart Features : 
Vidaa U4.2
RAM 1gb + ROM 4gb
Content Sharing
Screen Sharing

Design and Craftmanship :
Designed in Japan
Fine Tuned in Japan
Bezel less

Connectivity : 
WiFi Standard IEEE802.11n
HDMI v1.4 Version
2 HDMI Port
HDMI CEC
HDMI ARC
LAN
2 USB Port
USB PVR (HDD)
USB PVR (USB)
DVB-T/T2/C
DVB-S/S2
Analog
Video-in CVBS
Audio-out Digital (Optical/Toslink)
Audio-out Headphones 3.5mm
Power Consumption : 75 watt
Power Standby <0.5 watt
Remote Type : IR",3179670,1,5.0,2,Televisi
11943978673,SAMSUNG MESIN CUCI WD21T6500GV / SE,https://www.tokopedia.com/platinumos/samsung-mesin-cuci-wd21t6500gv-se?extParam=ivf%3Dfalse%26keyword%3Delektronik%26search_id%3D2025082818310811B9842E0A271F23BFS2%26src%3Dsearch,"EcoBubble
Nikmati pembersihan yang efisien, bahkan pada suhu rendah* dengan teknologi EcoBubble*. Deterjen yang berubah menjadi gelembung akan cepat menembus kain dan menghilangkan kotoran dengan mudah. Anda dapat menghemat energi, sekaligus melindungi warna & tekstur pakaian kesukaan Anda*.

AI Wash
Dapatkan hasil pencucian terbaik* dengan sedikit penggunaan detergen dan tenaga**. Al Wash menggunakan 4 jenis sensor untuk mendeteksi berat cucian, menghitung jumlah air, hingga tingkat deterjen agar mencuci lebih optimal. Dilengkapi dengan sensor noda yang dapat memantau noda di pakaian Anda, secara cerdas akan mengatur penambahan deterjen dan waktu pembilasan.

Spesifikasi :
- Washing Capacity (kg) : 21 kg
- Drying Capacity (kg) : 12 kg
- Body color : Black
- Door : Tint Door
- Panel Display : AI Control
- AI Control : Yes
- QuickDrive : Yes
- AddWash : Yes
- Spin Speed : 1100 rpm
- Bubble Soak : Yes
- Bubble technology : Yes
- Motor : DIT
- VRT : VRT+
- Net Dimension (WxHxD) : 686 x 984 x 796 mm
- Net Weight : 98 kg
- WiFi Embedded : Yes
- SmartThings App Support : Yes
- Power Consumption :
Pencucian sekitar 150 watt.
Rinse Dan Spin sekitar 300-400 Watt.
Temperature Aktif (air panas) sekitar 2000-2400 Watt.

Garansi Resmi Samsung Indonesia 1 Tahun Sparepart dan 20 Tahun Motor",14880000,0,,1,Mesin Cuci
100258803007,"Piano elektronik, piano elektronik 88 tombol, piano elektrik palu berat, piano elektrik portabel profesional, Piano listrik kelas profesional multifungsi",https://www.tokopedia.com/benstonmusic/piano-elektronik-piano-elektronik-88-tombol-piano-elektrik-palu-berat-piano-elektrik-portabel-profesional-piano-listrik-kelas-profesional-multifungsi-1729631353249105329?extParam=ivf%3Dtrue%26keyword%3Delektronik%26search_id%3D20250828183114320722549D1751175YE6%26src%3Dsearch,"Dudukan piano pada gambar dijual secara terpisah. link produk ini tidak disertakan dengan dudukan piano. Mohon informasikan kepada customer! ! !
Keyboard elektrik ini dapat digunakan dengan aksesori lainnya; Bangku piano, stand piano, dll., aksesori ini dijual di toko kami. Jika Anda membutuhkannya, Anda dapat memilih aksesori yang Anda inginkan dan memesannya. Memesan beberapa pcs akan memberi Anda diskon yang lebih besar
Penampilan luar; PVC motif kayu
arna; pvc; hitam, putih, oranye
Dua jenis keyboard: keyboard piano palu berat ukuran standar internasional 88 tombol, juga dikenal sebagai keyboard dengan palu. (Catatan: sensing piano); 88 tombol keyboard piano dinamis berstandar internasional.
Penutup keyboard: tidak ada penutup;
Speaker HIFI full-band 3D stereo high-power speaker, 4 ohm 6W * 2
Timbre: 128 (1-128)
Irama: 100 (1-100)
Lagu demo: 88 (1-88)
Display: Tampilan digital tiga digit
Kontrol Suara: Suara Ganda, Keyboard Ganda, Metronom, Transpose
Kontrol akord: akord satu jari, multi-jari
Kontrol perekaman: fungsi perekaman program yang baik
Polifonik;128
Penguat daya digital; Ini memiliki karakteristik anti-interferensi, tidak ribut, distorsi nol, rentang dinamis besar, guncangan frekuensi rendah, dll
Kontrol kekuatan: 16 tingkat sensitivitas sentuhan
Port persegi dengan fungsi MIDI soket USB: menghubungkan ponsel, komputer, tablet, dan perangkat pintar lainnya: (dapat dengan cepat dan mudah dihubungkan ke komputer atau perangkat MIDI lainnya untuk interaksi dan kreasi)
Inlet audio/Outlet audio
ort headphone ganda (stereo 3,5 mm)
Tombol volume yang bisa disesuaikan dengan bebas
Interface daya: AC220V/50Hz 12～15V3A
Sakelar daya
Cocok untuk : Piano elektrik portabel ini memiliki konfigurasi tinggi dan terutama digunakan untuk pertunjukan di luar ruangan, ukurannya kecil dan ringan, serta memiliki catu daya kualitas suara yang bagus. Sangat mudah beradaptasi dengan berbagai situasi, dan merupakan pilihan yang baik untuk di luar ruangan, asrama, dan ruang kecil,dll.",1871099,635,4.9,74,Piano Elektrik
102050876661,ENOVE - Device Stylish 3 Warna | Bisa Dijeda | Compact & Elegan,https://www.tokopedia.com/sixhill-id/enove-device-stylish-3-warna-bisa-dijeda-compact-elegan-1732131705470158296?extParam=ivf%3Dfalse%26keyword%3Delektronik%26search_id%3D202508281831159FD81843AD7F2020355T%26src%3Dsearch,"Ashtray Enove, Gaya dan Performa dalam Satu Genggaman
Enove hadir dengan Ashtray bawaan, memberikan kemudahan dan daya tahan ekstra untuk kamu yang aktif seharian. Tidak perlu membawa charger tambahan – cukup satu perangkat, semua beres dan cocok untuk Terea IKOS


Fitur Unggulan:
️Enove Device – praktis, warna yang elegan, bisa dijeda jadi lebih irit
Bisa dijeda saat digunakan – fleksibel sesuai kebutuhanmu

️ 3 pilihan warna elegan:
  Armour Silver – berani & trendi
  Obsidian Grey – simpel & modern
  Frozen Blue – smooth & berkelas

️ Desain ramping dan ringan, pas di kantong atau tas kecil


Enove adalah pilihan sempurna untuk kamu yang butuh perangkat serbaguna dengan tampilan stylish dan fitur fungsional.


Mohon cantumkan warna di catatan sebelum membeli. Happy shopping :)",409000,2,5.0,39,Cup Holder Mobil
16442373020,SMART TV LG 32 INCH 32LR600 MAGIC REMOTE GARANSI RESMI,https://www.tokopedia.com/pebjm/smart-tv-lg-32-inch-32lr600-magic-remote-garansi-resmi-1731010881208026352?extParam=ivf%3Dfalse%26keyword%3Delektronik%26search_id%3D2025082818310811B9842E0A271F23BFS2%26src%3Dsearch,"32LR600

MAGIC REMOTE
SMART TV LG
32 INCH
PROCESSOR ALPHA 5 GEN 6
HDR10 PRO
WEB OS 23",2183640,1,5.0,9,Televisi
